NAME,ID,ALGORITHM,STATUS,ERROR_MODULES,ERROR_HANDLING,TRIAL_NUMBER,DATE,TIME,COMMENT
s0_4133,10704511,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-21,22:58:18.33,
s0_888,10697621,ORCA,COMPLETE,OPT,{},1,2024-10-11,21:54:51.13,
s0_1147,10697651,ORCA,COMPLETE,OPT,{},1,2024-10-11,22:54:57.28,
s0_1380,10697660,ORCA,COMPLETE,OPT,{},1,2024-10-11,23:25:00.29,
s0_4132,10704561,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,02:13:37.08,All frequencies below 100 and applied solutions didn't work
s0_848,10697662,ORCA,COMPLETE,OPT,{},1,2024-10-11,23:25:02.33,
s0_3019,10697674,ORCA,COMPLETE,OPT,{},1,2024-10-12,00:10:07.69,
s0_4539,10697675,ORCA,COMPLETE,OPT,{},1,2024-10-12,00:10:08.71,
s0_4370,10697676,ORCA,COMPLETE,OPT,{},1,2024-10-12,00:10:09.73,
s0_4149,10704562,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,02:13:38.11,
s0_1123,10697688,ORCA,COMPLETE,OPT,{},1,2024-10-12,00:40:15.95,
s0_805,10704507,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-21,22:43:16.20,
s0_4140,10704533,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,00:13:24.76,All frequencies below 100 and applied solutions didn't work
s0_4130,10704364,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-21,18:42:47.58,
s0_3090,10697704,ORCA,COMPLETE,OPT,{},1,2024-10-12,01:55:25.10,
s0_4120,10702980,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-19,21:09:35.81,
s0_998,10697718,ORCA,COMPLETE,OPT,{},1,2024-10-12,02:40:32.27,
s0_919,10702981,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-19,21:09:36.83,
s0_4109,10697726,ORCA,COMPLETE,OPT,{},1,2024-10-12,03:10:37.37,
s0_2527,10697734,ORCA,COMPLETE,OPT,{},1,2024-10-12,03:55:42.84,
s0_997,10697735,ORCA,COMPLETE,OPT,{},1,2024-10-12,03:55:43.86,
s0_1848,10697749,ORCA,COMPLETE,OPT,{},1,2024-10-12,04:55:48.94,
s0_2571,10704365,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-21,18:42:48.61,All frequencies below 100 and applied solutions didn't work
s0_2827,10702983,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-19,21:09:38.87,
s0_4139,10704366,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-21,18:42:49.83,All frequencies below 100 and applied solutions didn't work
s0_4546,10702985,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-19,21:09:40.92,
s0_5034,10697784,ORCA,COMPLETE,OPT,{},1,2024-10-12,07:41:09.35,
s0_1516,10697793,ORCA,COMPLETE,OPT,{},1,2024-10-12,08:11:13.40,
s0_2596,10697796,ORCA,COMPLETE,OPT,{},1,2024-10-12,08:26:15.48,
s0_4119,10697965,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization""]}",2,2024-10-12,13:56:51.45,
s0_4632,10697804,ORCA,COMPLETE,OPT,{},1,2024-10-12,08:56:19.54,
s0_4927,10704367,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-21,18:42:50.86,
s0_1524,10704368,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-21,18:42:51.89,All frequencies below 100 and applied solutions didn't work
s0_1146,10697904,ORCA,COMPLETE,OPT,{},1,2024-10-12,11:26:35.95,
s0_775,10702988,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-19,21:09:43.98,
s0_843,10697972,ORCA,COMPLETE,OPT,{},1,2024-10-12,14:11:53.46,
s0_2526,10704369,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-21,18:42:52.92,All frequencies below 100 and applied solutions didn't work
s0_1236,10702990,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-19,21:09:46.02,
s0_2320,10697990,ORCA,COMPLETE,OPT,{},1,2024-10-12,14:56:59.66,
s0_2572,10697997,ORCA,COMPLETE,OPT,{},1,2024-10-12,15:27:02.74,
s0_4123,10702991,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-19,21:09:47.04,
s0_900,10698018,ORCA,COMPLETE,OPT,{},1,2024-10-12,16:27:10.07,
s0_4129,10698281,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization""]}",2,2024-10-13,01:12:55.06,
s0_4542,10698042,ORCA,COMPLETE,OPT,{},1,2024-10-12,16:42:13.13,
s0_2597,10698284,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization""]}",2,2024-10-13,01:27:57.08,
s0_1529,10707546,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-26,09:52:06.10,ERROR SIN SOLUCION PREDETERMINADA
s0_1003,10698144,ORCA,COMPLETE,OPT,{},1,2024-10-12,19:27:28.68,
s0_2788,10698322,ORCA,COMPLETE,OPT,{},1,2024-10-13,04:58:14.73,
s0_889,10698385,ORCA,COMPLETE,OPT,{},1,2024-10-13,09:13:42.88,
s0_851,10702992,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-19,21:09:48.06,
s0_3351,10705848,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,01:02:28.76,ERROR SIN SOLUCION PREDETERMINADA
s0_2525,10698401,ORCA,COMPLETE,OPT,{},1,2024-10-13,09:43:49.07,
s0_1845,10698402,ORCA,COMPLETE,OPT,{},1,2024-10-13,09:43:50.09,
s0_922,10698405,ORCA,COMPLETE,OPT,{},1,2024-10-13,09:58:52.02,
s0_996,10698406,ORCA,COMPLETE,OPT,{},1,2024-10-13,09:58:53.03,
s0_4548,10698407,ORCA,COMPLETE,OPT,{},1,2024-10-13,09:58:54.05,
s0_923,10698408,ORCA,COMPLETE,OPT,{},1,2024-10-13,09:58:55.07,
s0_3337,10704372,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-21,18:42:56.02,
s0_4145,10702994,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-19,21:09:50.14,
s0_4110,10698437,ORCA,COMPLETE,OPT,{},1,2024-10-13,10:29:00.14,
s0_3349,10704569,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,02:43:41.29,
s0_2600,10703132,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-20,04:10:21.71,
s0_3350,10704572,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,02:58:43.59,All frequencies below 100 and applied solutions didn't work
s0_864,10704598,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,05:14:01.86,
s0_4077,10698799,ORCA,COMPLETE,OPT,{},1,2024-10-13,20:10:44.87,
s0_4117,10703311,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-20,12:10:57.02,
s0_1526,10698801,ORCA,COMPLETE,OPT,{},1,2024-10-13,20:10:47.07,
s0_4113,10698802,ORCA,COMPLETE,OPT,{},1,2024-10-13,20:10:48.09,
s0_2593,10698803,ORCA,COMPLETE,OPT,{},1,2024-10-13,20:10:49.11,
s0_4114,10698804,ORCA,COMPLETE,OPT,{},1,2024-10-13,20:10:50.13,
s0_4547,10704654,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,07:59:14.77,
s0_779,10704919,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,13:44:40.98,
s0_4126,10698823,ORCA,COMPLETE,OPT,{},1,2024-10-13,20:44:31.98,
s0_916,10698881,ORCA,COMPLETE,OPT,{},1,2024-10-13,22:44:41.22,
s0_2594,10698917,ORCA,COMPLETE,OPT,{},1,2024-10-14,00:29:49.62,
s0_835,10698918,ORCA,COMPLETE,OPT,{},1,2024-10-14,00:29:50.64,
s0_4122,10698927,ORCA,COMPLETE,OPT,{},1,2024-10-14,00:59:54.77,
s0_1517,10703369,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-20,14:11:08.16,
s0_3148,10698948,ORCA,COMPLETE,OPT,{},1,2024-10-14,02:45:06.39,
s0_1518,10698949,ORCA,COMPLETE,OPT,{},1,2024-10-14,02:45:07.41,
s0_49,10703414,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-20,15:26:14.30,
s0_917,10704948,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,13:59:43.13,
s0_4366,10698962,ORCA,COMPLETE,OPT,{},1,2024-10-14,03:45:15.65,
s0_849,10698974,ORCA,COMPLETE,OPT,{},1,2024-10-14,04:45:20.68,
s0_2592,10699107,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization""]}",2,2024-10-14,11:00:59.47,
s0_4138,10704960,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,14:14:45.23,All frequencies below 100 and applied solutions didn't work
s0_4368,10699005,ORCA,COMPLETE,OPT,{},1,2024-10-14,07:00:35.07,
s0_4541,10699023,ORCA,COMPLETE,OPT,{},1,2024-10-14,08:15:42.25,
s0_2699,10704978,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,14:44:48.42,
s0_46,10699043,ORCA,COMPLETE,OPT,{},1,2024-10-14,09:15:48.23,
s0_2599,10705067,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,19:30:10.81,
s0_2818,10699082,ORCA,COMPLETE,OPT,{},1,2024-10-14,10:15:55.34,
s0_4116,10699108,ORCA,COMPLETE,OPT,{},1,2024-10-14,11:01:00.49,
s0_4135,10705159,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,22:30:24.37,All frequencies below 100 and applied solutions didn't work
s0_3278,10705212,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-23,02:45:43.13,
s0_3276,10705222,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-23,04:00:49.63,
s0_1847,10705260,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-23,07:16:05.01,
s0_2319,10705306,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-23,09:01:13.49,
s0_846,10705327,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-23,09:31:16.60,All frequencies below 100 and applied solutions didn't work
s0_1148,10705341,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-23,09:46:18.76,
s0_920,10699232,ORCA,COMPLETE,OPT,{},1,2024-10-14,14:01:22.94,
s0_4078,10699418,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization""]}",2,2024-10-14,18:31:58.06,
s0_3336,10705406,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-23,10:31:23.04,
s0_1523,10705680,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-23,17:01:52.76,
s0_3416,10699346,ORCA,COMPLETE,OPT,{},1,2024-10-14,16:31:37.16,
s0_2589,10699347,ORCA,COMPLETE,OPT,{},1,2024-10-14,16:31:38.17,
s0_776,10705841,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,00:47:26.56,All frequencies below 100 and applied solutions didn't work
s0_4926,10699432,ORCA,COMPLETE,OPT,{},1,2024-10-14,19:17:03.09,
s0_896,10699479,ORCA,COMPLETE,OPT,{},1,2024-10-14,20:02:08.25,
s0_4369,10699530,ORCA,COMPLETE,OPT,{},1,2024-10-14,21:02:14.50,
s0_1002,10699535,ORCA,COMPLETE,OPT,{},1,2024-10-14,21:17:16.55,
s0_4146,10705886,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,03:47:42.00,
s0_4144,10705917,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,05:47:51.91,All frequencies below 100 and applied solutions didn't work
s0_2826,10699576,ORCA,COMPLETE,OPT,{},1,2024-10-14,22:47:25.88,
s0_4141,10705968,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,08:48:05.71,
s0_4131,10705977,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,09:18:08.87,
s0_831,10699657,ORCA,COMPLETE,OPT,{},1,2024-10-15,01:17:40.75,
s0_4338,10699666,ORCA,COMPLETE,OPT,{},1,2024-10-15,02:02:44.90,
s0_4137,10705996,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,10:03:13.18,
s0_4128,10706045,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,10:48:17.45,
s0_3093,10706066,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,11:03:19.55,
s0_1151,10699684,ORCA,COMPLETE,OPT,{},1,2024-10-15,03:17:54.24,
s0_4127,10706180,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,13:48:32.94,
s0_1527,10699705,ORCA,COMPLETE,OPT,{},1,2024-10-15,04:48:03.65,
s0_3277,10706196,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,14:03:35.04,
s0_999,10706244,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,14:48:39.26,
s0_2761,10699771,ORCA,COMPLETE,OPT,{},1,2024-10-15,08:48:27.59,
s0_780,10699777,ORCA,COMPLETE,OPT,{},1,2024-10-15,09:03:29.67,
s0_119,10699783,ORCA,COMPLETE,OPT,{},1,2024-10-15,09:18:31.72,
s0_778,10706442,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,19:34:00.71,
s0_2568,10699930,ORCA,COMPLETE,OPT,{},1,2024-10-15,13:03:52.72,
s0_915,10706510,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,22:34:14.41,
s0_897,10700058,ORCA,COMPLETE,OPT,{},1,2024-10-15,14:49:05.13,
s0_921,10700291,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization""]}",2,2024-10-15,21:34:45.39,
s0_4633,10700304,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization""]}",2,2024-10-15,22:04:51.57,
s0_1237,10700511,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization""]}",2,2024-10-16,09:06:08.51,
s0_4051,10706527,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-24,23:04:17.55,
s0_3149,10706589,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-25,00:19:23.81,
s0_3338,10700167,ORCA,COMPLETE,OPT,{},1,2024-10-15,17:34:22.73,
s0_4147,10706624,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-25,02:34:34.50,All frequencies below 100 and applied solutions didn't work
s0_908,10700174,ORCA,COMPLETE,OPT,{},1,2024-10-15,17:49:25.79,
s0_2595,10700198,ORCA,COMPLETE,OPT,{},1,2024-10-15,18:34:29.90,
s0_1150,10706626,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-25,02:49:36.57,
